clip,group,severity,session,created,n_frames_total,n_tracked,tracking_lost,f0_hz,f0_source,primary_axis,a1_over_noise,n_warnings,seed_machine_x,seed_machine_y,seed_base_x,seed_base_y,seed_ref_x,seed_ref_y,resp_machine,resp_base,resp_ref,weak_marker,sep_machine_base,sep_machine_ref,tile_pitch_px,mach_rms,base_rms,ref_rms,seconds
IMG_8450,under3g,1,S6,2026-08-22T19:34:33.000000Z,2228,2000,False,18.84,spectral_peak_x,d_machine_x,80.179,5,484,746,533,1880,948,1460,21763.2,17632.7,14984.7,False,1134.184,851.747,92.0,0.09979,0.1332,0.1152,6.07
IMG_8451,under3g,1,S6,2026-08-22T19:32:05.000000Z,2225,2000,False,18.96,spectral_peak_x,d_machine_x,50.442,5,485,745,534,1890,954,1467,22201.3,17627.7,15356.4,False,1146.245,862.055,93.0,0.07014,0.05701,0.06268,6.11
IMG_8453,under3g,1,S6,2026-08-22T19:33:22.000000Z,2218,2000,False,18.48,spectral_peak_x,d_machine_x,185.089,4,525,740,557,1886,976,1467,23509.4,17988.0,15494.4,False,1147.104,856.447,50.0,0.22545,0.0577,0.06259,6.04
IMG_8454,under3g,1,S6,2026-08-22T19:33:12.000000Z,2214,2000,False,18.6,spectral_peak_x,d_machine_x,177.048,4,526,739,558,1886,976,1467,22855.0,18154.7,15239.9,False,1147.071,855.859,50.0,0.23672,0.04465,0.05418,5.96
IMG_8455,under3g,1,S6,2026-08-22T19:33:03.000000Z,2211,2000,False,18.6,spectral_peak_x,d_machine_x,149.18,4,527,739,558,1886,976,1467,22613.1,18289.7,14879.4,False,1147.392,843.419,50.0,0.16762,0.07037,0.07313,5.93
IMG_8456,under3g,1,S6,2026-08-22T19:32:53.000000Z,2239,2000,False,18.6,spectral_peak_x,d_machine_x,146.237,4,526,739,558,1886,976,1467,22515.6,18081.8,15466.2,False,1147.344,843.178,51.0,0.17478,0.06654,0.06691,5.94
IMG_8457,under3g,1,S6,2026-08-22T19:32:43.000000Z,2225,2000,False,18.6,spectral_peak_x,d_machine_x,150.152,4,526,739,558,1886,976,1467,22550.8,18164.5,15213.4,False,1147.324,843.379,51.0,0.17287,0.04926,0.05657,5.93
IMG_8458,under3g,1,S6,2026-08-22T19:32:33.000000Z,2220,2000,False,18.48,spectral_peak_x,d_machine_x,179.73,4,527,739,558,1886,977,1467,22585.8,18233.4,15296.7,False,1147.483,855.902,50.0,0.31727,0.05244,0.06064,6.05
IMG_8459,under3g,1,S6,2026-08-22T19:32:24.000000Z,2234,2000,False,18.6,spectral_peak_x,d_machine_x,188.896,4,526,739,558,1886,976,1467,23311.7,18047.2,15179.3,False,1147.453,856.372,50.0,0.32232,0.05644,0.05995,5.92
IMG_8460,under3g,1,S6,2026-08-22T19:32:14.000000Z,2222,2000,False,18.48,spectral_peak_x,d_machine_x,172.62,4,526,739,558,1886,977,1467,23222.9,18331.2,15378.0,False,1147.616,856.254,50.0,0.36351,0.05383,0.06004,6.16
