model,pca,features,criterion,n_cols,level,seed,fold
pca_recon,8,primary,632726856003247.1,13,clip,43,S1
pca_recon,8,orderband,1124741214291543.6,27,clip,43,S1
pca_recon,auto,all,10.223148,39,clip,43,S1
pca_recon,auto,machine,8.129381,26,clip,43,S1
pca_recon,auto,primary,6.596597,13,clip,43,S1
pca_recon,auto,orderband,6.78785,27,clip,43,S1
mahalanobis,3,all,1.93442,39,clip,43,S2
mahalanobis,3,machine,2.200885,26,clip,43,S2
mahalanobis,3,primary,1.69353,13,clip,43,S2
mahalanobis,3,orderband,3.933212,27,clip,43,S2
mahalanobis,5,all,2.67206,39,clip,43,S2
mahalanobis,5,machine,3.648046,26,clip,43,S2
mahalanobis,5,primary,7.377212,13,clip,43,S2
mahalanobis,5,orderband,3.594673,27,clip,43,S2
mahalanobis,8,all,6826837346040.255,39,clip,43,S2
mahalanobis,8,machine,3728091589023.14,26,clip,43,S2
mahalanobis,8,primary,438589878573.5472,13,clip,43,S2
mahalanobis,8,orderband,5322292524328.332,27,clip,43,S2
mahalanobis,auto,all,5.55545,39,clip,43,S2
mahalanobis,auto,machine,7.69225,26,clip,43,S2
mahalanobis,auto,primary,7.377212,13,clip,43,S2
mahalanobis,auto,orderband,6.249992,27,clip,43,S2
isolation_forest,auto,all,1.35298,39,clip,43,S2
isolation_forest,auto,machine,1.54508,26,clip,43,S2
isolation_forest,auto,primary,0.668117,13,clip,43,S2
isolation_forest,auto,orderband,1.238955,27,clip,43,S2
ocsvm,auto,all,347.38947,39,clip,43,S2
ocsvm,auto,machine,221.62215,26,clip,43,S2
ocsvm,auto,primary,128.053663,13,clip,43,S2
ocsvm,auto,orderband,348.089408,27,clip,43,S2
pca_recon,3,all,6.73132,39,clip,43,S2
pca_recon,3,machine,4.890987,26,clip,43,S2
pca_recon,3,primary,4.295188,13,clip,43,S2
pca_recon,3,orderband,4.754005,27,clip,43,S2
pca_recon,5,all,7.88411,39,clip,43,S2
pca_recon,5,machine,8.069754,26,clip,43,S2
pca_recon,5,primary,6.89083,13,clip,43,S2
pca_recon,5,orderband,11.812042,27,clip,43,S2
pca_recon,8,all,5286492888000941.0,39,clip,43,S2
pca_recon,8,machine,1051217917064061.4,26,clip,43,S2
pca_recon,8,primary,729215620375585.4,13,clip,43,S2
pca_recon,8,orderband,715869235691874.0,27,clip,43,S2
pca_recon,auto,all,9.891514,39,clip,43,S2
pca_recon,auto,machine,10.420167,26,clip,43,S2
pca_recon,auto,primary,6.89083,13,clip,43,S2
pca_recon,auto,orderband,5.791645,27,clip,43,S2
mahalanobis,3,all,1.733236,39,clip,43,S3
mahalanobis,3,machine,1.482178,26,clip,43,S3
mahalanobis,3,primary,2.363056,13,clip,43,S3
mahalanobis,3,orderband,1.911904,27,clip,43,S3
mahalanobis,5,all,3.103547,39,clip,43,S3
mahalanobis,5,machine,3.903499,26,clip,43,S3
mahalanobis,5,primary,4.313807,13,clip,43,S3
mahalanobis,5,orderband,2.778573,27,clip,43,S3
mahalanobis,8,all,14.348125,39,clip,43,S3
mahalanobis,8,machine,27.301299,26,clip,43,S3
mahalanobis,8,primary,155.158468,13,clip,43,S3
mahalanobis,8,orderband,72.04234,27,clip,43,S3
mahalanobis,auto,all,7.977846,39,clip,43,S3
mahalanobis,auto,machine,8.846708,26,clip,43,S3
mahalanobis,auto,primary,4.313807,13,clip,43,S3
mahalanobis,auto,orderband,5.001234,27,clip,43,S3
isolation_forest,auto,all,1.190386,39,clip,43,S3
isolation_forest,auto,machine,0.983239,26,clip,43,S3
isolation_forest,auto,primary,0.586598,13,clip,43,S3
isolation_forest,auto,orderband,1.305129,27,clip,43,S3
ocsvm,auto,all,273.664284,39,clip,43,S3
ocsvm,auto,machine,263.310919,26,clip,43,S3
ocsvm,auto,primary,160.294473,13,clip,43,S3
ocsvm,auto,orderband,713.600907,27,clip,43,S3
pca_recon,3,all,5.913724,39,clip,43,S3
pca_recon,3,machine,6.18896,26,clip,43,S3
pca_recon,3,primary,4.211472,13,clip,43,S3
pca_recon,3,orderband,3.775107,27,clip,43,S3
pca_recon,5,all,8.371802,39,clip,43,S3
pca_recon,5,machine,7.518871,26,clip,43,S3
pca_recon,5,primary,5.319072,13,clip,43,S3
pca_recon,5,orderband,5.56361,27,clip,43,S3
pca_recon,8,all,10.353893,39,clip,43,S3
pca_recon,8,machine,14.222166,26,clip,43,S3
pca_recon,8,primary,8.462899,13,clip,43,S3
pca_recon,8,orderband,7.293461,27,clip,43,S3
pca_recon,auto,all,11.912282,39,clip,43,S3
pca_recon,auto,machine,8.105322,26,clip,43,S3
pca_recon,auto,primary,5.319072,13,clip,43,S3
pca_recon,auto,orderband,5.78932,27,clip,43,S3
mahalanobis,3,all,1.578164,39,clip,43,S4
mahalanobis,3,machine,1.788796,26,clip,43,S4
mahalanobis,3,primary,1.187284,13,clip,43,S4
mahalanobis,3,orderband,3.554946,27,clip,43,S4
mahalanobis,5,all,2.919498,39,clip,43,S4
mahalanobis,5,machine,3.740546,26,clip,43,S4
mahalanobis,5,primary,8.336969,13,clip,43,S4
mahalanobis,5,orderband,5.753186,27,clip,43,S4
mahalanobis,8,all,3065823100303.6816,39,clip,43,S4
mahalanobis,8,machine,2446622571502.348,26,clip,43,S4
mahalanobis,8,primary,1940451619685.7048,13,clip,43,S4
mahalanobis,8,orderband,1737372866467.5266,27,clip,43,S4
mahalanobis,auto,all,3.758585,39,clip,43,S4
mahalanobis,auto,machine,6.223098,26,clip,43,S4
mahalanobis,auto,primary,5.048388,13,clip,43,S4
mahalanobis,auto,orderband,7.104979,27,clip,43,S4
isolation_forest,auto,all,1.308003,39,clip,43,S4
isolation_forest,auto,machine,1.003595,26,clip,43,S4
isolation_forest,auto,primary,0.511236,13,clip,43,S4
isolation_forest,auto,orderband,1.244294,27,clip,43,S4
ocsvm,auto,all,254.811563,39,clip,43,S4
ocsvm,auto,machine,256.539602,26,clip,43,S4
ocsvm,auto,primary,167.132823,13,clip,43,S4
ocsvm,auto,orderband,366.432189,27,clip,43,S4
pca_recon,3,all,5.043892,39,clip,43,S4
pca_recon,3,machine,7.80792,26,clip,43,S4
pca_recon,3,primary,4.634071,13,clip,43,S4
pca_recon,3,orderband,3.428405,27,clip,43,S4
pca_recon,5,all,5.879072,39,clip,43,S4
pca_recon,5,machine,5.23411,26,clip,43,S4
pca_recon,5,primary,11.578042,13,clip,43,S4
pca_recon,5,orderband,4.00796,27,clip,43,S4
pca_recon,8,all,1537963019271737.2,39,clip,43,S4
pca_recon,8,machine,1531254203307693.0,26,clip,43,S4
pca_recon,8,primary,998470597450223.4,13,clip,43,S4
pca_recon,8,orderband,1384512541362813.2,27,clip,43,S4
pca_recon,auto,all,13.869644,39,clip,43,S4
pca_recon,auto,machine,8.940752,26,clip,43,S4
pca_recon,auto,primary,6.28295,13,clip,43,S4
pca_recon,auto,orderband,7.435582,27,clip,43,S4
mahalanobis,3,all,1.161582,39,clip,44,S1
mahalanobis,3,machine,0.952167,26,clip,44,S1
mahalanobis,3,primary,1.249959,13,clip,44,S1
mahalanobis,3,orderband,1.541584,27,clip,44,S1
mahalanobis,5,all,1.633507,39,clip,44,S1
mahalanobis,5,machine,2.110764,26,clip,44,S1
mahalanobis,5,primary,3.231898,13,clip,44,S1
mahalanobis,5,orderband,1.492031,27,clip,44,S1
mahalanobis,8,all,2093142984198.6882,39,clip,44,S1
mahalanobis,8,machine,1577621105090.712,26,clip,44,S1
mahalanobis,8,primary,495648042645.4577,13,clip,44,S1
mahalanobis,8,orderband,1580638805717.2058,27,clip,44,S1
mahalanobis,auto,all,1.948761,39,clip,44,S1
mahalanobis,auto,machine,5.734967,26,clip,44,S1
mahalanobis,auto,primary,3.067375,13,clip,44,S1
mahalanobis,auto,orderband,2.328049,27,clip,44,S1
