roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,group,variant,detector,n_windows,n_features
0.607541359194891,0.06100736563818667,0.9535573802106441,0.0076177560321942115,0.08592227095516569,0.042225065514308505,0.013513513513513514,0.015604061329449347,4,cwru_48k,window_fn,none,mahalanobis,1737,13
0.780416173223135,0.038675532451304236,0.9779116040663303,0.008075053547747381,0.5500581928164501,0.04209638947993659,0.048489666136724965,0.06407475184564712,4,cwru_48k,order_tolerance,0.02,mahalanobis,1737,13
0.6901904746921291,0.19860811991320862,0.9628758564939164,0.03468995712642565,0.4665949651667689,0.017015517678692433,0.12162162162162163,0.24324324324324326,4,cwru_48k,order_tolerance,0.05,mahalanobis,1737,13
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,order_tolerance,0.08,mahalanobis,1737,13
0.6808172034087505,0.20304428872437355,0.963446249622159,0.03157332801105134,0.4795334316265881,0.02668033376972574,0.12957074721780604,0.22166708398024357,4,cwru_48k,order_tolerance,0.1,mahalanobis,1737,13
0.6862025580263801,0.17506900868667644,0.9655897535923171,0.02629011486478145,0.48363534638196054,0.0555470365710529,0.13513513513513514,0.23458047867191958,4,cwru_48k,order_tolerance,0.15,mahalanobis,1737,13
0.7271168676174024,0.06109149997660516,0.9719597741452219,0.010008272283357126,0.4134461200839834,0.01365175744477146,0.02027027027027027,0.04054054054054054,4,cwru_48k,order_tolerance,0.2,mahalanobis,1737,13
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,bands,research_bands,mahalanobis,1737,13
0.6636592788156002,0.19284941952545345,0.961129855594632,0.03080225037522366,0.4712530864636486,0.049587159774083525,0.12162162162162163,0.20759853372617865,4,cwru_48k,bands,appspec_bands,mahalanobis,1737,13
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,rms_order_min,0.1,mahalanobis,1737,13
0.6860596107563524,0.15119176312533147,0.964217857307011,0.022680754497878566,0.40470464219788466,0.043590497718417824,0.08465818759936408,0.09792922689163779,4,cwru_48k,rms_order_min,0.2,mahalanobis,1737,13
0.6922,,,,0.6244,,0.2377,,,cwru_48k,threshold_percentile,90,,,
0.6922,,,,0.5808,,0.2039,,,cwru_48k,threshold_percentile,95,,,
