roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,detector,fs_hz,label
0.767926582565082,0.09244839384709669,0.908448997651812,0.04425617199257204,0.1073615985182786,0.04587016161173149,0.021045751633986927,0.019511747092334945,5,mafaulda,mahalanobis,480.0,underhang_ball_fault
0.7717474786751786,0.09726586126834508,0.9150326393114916,0.040020942671531085,0.10860489911672415,0.045024781446824286,0.021045751633986927,0.019511747092334945,5,mafaulda,mahalanobis,480.0,underhang_cage_fault
0.7662305558153311,0.09401889043929054,0.9095205698540496,0.04186899583963014,0.061434840014428706,0.030268393932277288,0.021045751633986927,0.019511747092334945,5,mafaulda,mahalanobis,480.0,underhang_outer_race
0.6352758627934191,0.09379974971007538,0.9055575196086018,0.02538857377529491,0.07742412595695294,0.0556508723149525,0.021045751633986927,0.019511747092334945,5,mafaulda,mahalanobis,480.0,vertical_misalignment
0.6798478001557586,0.06743029731267561,0.8861980667416859,0.03509888142839053,0.3632065610197657,0.045430036655165214,0.09699346405228758,0.08453585776349982,5,mafaulda,ocsvm,480.0,horizontal_misalignment
0.9107698688063302,0.025803133460574914,0.9829762169977337,0.009724775704891636,0.8969052225003804,0.028926942463180772,0.09699346405228758,0.08453585776349982,5,mafaulda,ocsvm,480.0,imbalance
0.9819451818490649,0.012389993772753667,0.9933817001241936,0.004591553178456818,0.9628026963300507,0.018992670078704397,0.09699346405228758,0.08453585776349982,5,mafaulda,ocsvm,480.0,overhang_ball_fault
0.9287131494998914,0.02447620575565025,0.9746870775499008,0.017976000542327376,0.9029980840162933,0.008625773178773357,0.09699346405228758,0.08453585776349982,5,mafaulda,ocsvm,480.0,overhang_cage_fault
0.9647379249582855,0.024603194704478127,0.9887701098795303,0.008521477063822617,0.954291316186245,0.023098155125932926,0.09699346405228758,0.08453585776349982,5,mafaulda,ocsvm,480.0,overhang_outer_race
0.9243493338539779,0.03727282893495108,0.9717557753742183,0.017902889624814712,0.8462541165752544,0.016448143358809387,0.09699346405228758,0.08453585776349982,5,mafaulda,ocsvm,480.0,underhang_ball_fault
