roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,detector,label
0.7715179916736016,0.0865549990299791,0.9601364208012702,0.02311790832695342,0.5497820494913519,0.07539196710387315,0.07670906200317965,0.09326710563798145,4,cwru_48k,pca_recon,outer_race
0.5062684224016404,0.08640302006744564,0.8117023740376392,0.04533646551028638,0.08191984985993714,0.04988391874842253,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,horizontal_misalignment
0.8210750448936681,0.04817973794734868,0.9570760326202589,0.02038265916955699,0.09066857014134463,0.020253987570690305,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,imbalance
0.8772924231420964,0.04884704697987664,0.9449585779806583,0.0252585138395081,0.32902696309802343,0.08569836534723485,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,overhang_ball_fault
0.7888668599395243,0.0713568477274446,0.918862373580534,0.03983377675096611,0.0735293522660531,0.02133229175107559,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,overhang_cage_fault
0.8885877901212084,0.05913778948365227,0.9484556112718521,0.03196764158907493,0.10471726051828337,0.032448591222337786,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,overhang_outer_race
0.652938491213851,0.0821751154984472,0.8679593072608812,0.04162778607555771,0.08904582906308532,0.053296607390780265,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,underhang_ball_fault
0.7067884055973657,0.0715082034998907,0.893465866550206,0.035616983872673286,0.11281333188913045,0.030980682689296813,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,underhang_cage_fault
0.6984840665348162,0.07752114215626757,0.8823875746093875,0.04169985015365836,0.0620501965855695,0.025570922266736504,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,underhang_outer_race
0.5575257813829485,0.05835451364449314,0.8816511035087483,0.02067730701525789,0.06895543950137209,0.04357472998057608,0.021176470588235293,0.02300894966542111,5,mafaulda,mahalanobis,vertical_misalignment
0.5190354942379163,0.061901981414173274,0.8109810350040233,0.03729674509898628,0.005288958695143106,0.005600085804322484,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,horizontal_misalignment
0.8884227928895594,0.06400105748277464,0.9742741115723561,0.027915287123463348,0.0980634870592154,0.027553452200536933,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,imbalance
0.9083566251482438,0.04319791001421991,0.9585380591175536,0.02870706761643114,0.32256013873223,0.165041135772882,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,overhang_ball_fault
